2 1:260.48364 2:15.710084 3:7.9905214 4:-0.011707475 5:9.24931 6:1.6532997 7:10.473631 8:-1.6582698 9:6.8200765 10:-5.753995 11:0.3902699 12:-4.7346783 13:4.604922 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:260.1191 2:15.985443 3:7.0791297 4:-0.47243828 5:9.1009865 6:0.8664437 7:9.33606 8:-2.4454777 9:7.153698 10:-6.4328213 11:-0.66448027 12:-5.233389 13:4.949673 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:266.42694 2:16.79826 3:6.829726 4:-1.4021093 5:8.315472 6:0.42407495 7:9.379549 8:-1.8037187 9:7.2187634 10:-5.4655395 11:0.57292193 12:-5.1845903 13:4.5987463 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:268.12677 2:16.765747 3:5.5283036 4:-1.363389 5:8.675033 6:0.25298184 7:8.973372 8:-2.061288 9:7.5518994 10:-5.633935 11:0.9505589 12:-4.6809335 13:4.5090537 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:270.18808 2:19.26749 3:4.370526 4:-1.3516794 5:10.8146105 6:-0.18670638 7:7.225459 8:-2.5519807 9:7.8791566 10:-5.5756764 11:0.20029183 12:-5.1580186 13:4.856835 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:271.67764 2:18.943907 3:5.074874 4:-0.7777281 5:11.315143 6:-0.6887769 7:6.4129148 8:-3.1577117 9:7.2734017 10:-5.4639287 11:2.2442086 12:-4.9672346 13:3.965747 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:288.5366 2:26.973692 3:7.322984 4:-5.5192695 5:5.952815 6:-8.2378435 7:3.7102752 8:-5.2245708 9:5.919932 10:-3.3819866 11:4.8728333 12:-6.37371 13:4.620103 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:290.54324 2:28.156528 3:5.556887 4:-5.9712634 5:6.2243533 6:-10.054095 7:4.6568356 8:-4.5184407 9:5.711754 10:-4.4601665 11:5.3616457 12:-5.404769 13:4.096301 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:299.48306 2:27.329283 3:0.9475286 4:-7.5006495 5:5.1210084 6:-11.024172 7:4.8513093 8:-2.69451 9:6.23405 10:-5.5867887 11:6.858359 12:-4.01206 13:4.276213 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:299.9475 2:28.002874 3:-1.32973 4:-6.2464395 5:5.2499366 6:-11.138724 7:5.3644466 8:-3.1862316 9:6.5139556 10:-6.2725573 11:7.1745467 12:-4.0624843 13:4.443721 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:304.78116 2:28.68021 3:-4.181491 4:-5.687943 5:7.1481695 6:-11.8634 7:6.013052 8:-3.1341386 9:4.9433007 10:-6.624451 11:8.069278 12:-3.5235994 13:5.494302 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
