2 1:107.27953 2:-0.35374352 3:1.4216533 4:-3.3181167 5:2.769041 6:-1.1181072 7:2.492978 8:-2.1167877 9:4.889742 10:-4.331245 11:3.2639644 12:-0.1679455 13:4.073572 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:107.54729 2:-0.6611659 3:5.9795103 4:-2.6664317 5:1.6633759 6:2.1347861 7:6.184757 8:-3.0573356 9:0.24593128 10:-2.5964918 11:3.9491334 12:-3.4441266 13:2.0334773 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:107.54729 2:-0.6611659 3:5.9795103 4:-2.6664317 5:1.6633759 6:2.1347861 7:6.184757 8:-3.0573356 9:0.24593128 10:-2.5964918 11:3.9491334 12:-3.4441266 13:2.0334773 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:103.27781 2:-2.3824813 3:4.568235 4:-6.4801655 5:-0.8045393 6:-2.2755618 7:1.0429478 8:-1.1010995 9:2.8807447 10:-1.0199354 11:6.4143558 12:0.530769 13:2.3602905 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:103.27781 2:-2.3824813 3:4.568235 4:-6.4801655 5:-0.8045393 6:-2.2755618 7:1.0429478 8:-1.1010995 9:2.8807447 10:-1.0199354 11:6.4143558 12:0.530769 13:2.3602905 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:140.91837 2:4.9792776 3:10.528027 4:-2.372741 5:6.721244 6:-2.1341953 7:6.9808216 8:-2.3084023 9:3.012492 10:-3.5174649 11:4.239335 12:-4.3881726 13:3.8362665 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:140.91837 2:4.9792776 3:10.528027 4:-2.372741 5:6.721244 6:-2.1341953 7:6.9808216 8:-2.3084023 9:3.012492 10:-3.5174649 11:4.239335 12:-4.3881726 13:3.8362665 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:159.60896 2:5.173016 3:6.879975 4:-7.101527 5:4.1385546 6:-1.9786831 7:7.553429 8:-7.257011 9:6.1755505 10:-1.6926225 11:6.486524 12:1.7194936 13:7.206683 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:159.60896 2:5.173016 3:6.879975 4:-7.101527 5:4.1385546 6:-1.9786831 7:7.553429 8:-7.257011 9:6.1755505 10:-1.6926225 11:6.486524 12:1.7194936 13:7.206683 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:163.57474 2:6.794439 3:7.5510197 4:-1.8178701 5:5.436864 6:-6.911533 7:0.27332875 8:-5.6760025 9:3.5126836 10:-4.2554655 11:5.478873 12:-5.508404 13:2.837383 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
